task,variant,signal,quota,eta,eta_lo,eta_hi,reduction_frac
plannerC_path_dev,oracle,decision_oracle_dJ,0.3,1.0,1.0,1.0,0.14736399710254441
plannerC_path_dev,oracle,decision_oracle_dJ,0.5,1.0,1.0,1.0,0.14736399710254441
plannerC_path_dev,oracle,uncertainty [scene-z],0.1,0.07556311287491928,0.011033045304829356,0.13243342267514924,0.009404932524237795
plannerC_path_dev,oracle,uncertainty [scene-z],0.2,0.09482445873897673,0.009762766062278199,0.16352464364686284,0.013684341768587698
plannerC_path_dev,oracle,uncertainty [scene-z],0.3,0.10310631630970327,-0.006146869601411713,0.19424332829563215,0.015194158897917141
plannerC_path_dev,oracle,uncertainty [scene-z],0.5,0.1883791153953135,0.018418504278941532,0.34316684324510305,0.02776029941529486
plannerC_path_dev,oracle,criticality [scene-z],0.1,0.09603404930218705,0.02433529740642565,0.16977555509897607,0.011952839412683602
plannerC_path_dev,oracle,criticality [scene-z],0.2,0.17506924276055894,0.04096789960653101,0.2781791883217408,0.025264656218054453
plannerC_path_dev,oracle,criticality [scene-z],0.3,0.21736847687574506,0.07619233011875057,0.3474454858235058,0.03203228759650179
plannerC_path_dev,oracle,criticality [scene-z],0.5,0.3071847561384813,0.1396865587749336,0.45046878082178066,0.045267973513536966
plannerC_path_dev,oracle,perception_oracle_dE [scene-z],0.1,0.2139998850192025,0.10229140655354414,0.3422523004376474,0.02663540982134792
plannerC_path_dev,oracle,perception_oracle_dE [scene-z],0.2,0.33878075861097917,0.21055817463658574,0.453628945802126,0.04889025202047862
plannerC_path_dev,oracle,perception_oracle_dE [scene-z],0.3,0.3848803703415683,0.2563420867889855,0.5141933766245591,0.056717509779841094
plannerC_path_dev,oracle,perception_oracle_dE [scene-z],0.5,0.40570214527450305,0.2367730745649412,0.5601367979369333,0.05978588976072792
plannerC_path_dev,oracle,best_dE_metric (E6_risk_weighted) [scene-z],0.1,0.35182276571587284,0.21231947805698656,0.49618612101468434,0.04378947936575517
plannerC_path_dev,oracle,best_dE_metric (E6_risk_weighted) [scene-z],0.2,0.36087879777206455,0.19989904557154403,0.5033840925250288,0.0520792722829442
plannerC_path_dev,oracle,best_dE_metric (E6_risk_weighted) [scene-z],0.3,0.3595960625428988,0.18505969529194446,0.5094291294648919,0.052991513118658115
plannerC_path_dev,oracle,best_dE_metric (E6_risk_weighted) [scene-z],0.5,0.34694462591677144,0.14704836312613456,0.5040270049384196,0.05112714684834247
plannerC_path_dev,oracle,multimetric_dE_oracle [scene-z],0.1,0.36608681461592063,0.23154790570041706,0.5055907546982915,0.045564848488642444
plannerC_path_dev,oracle,multimetric_dE_oracle [scene-z],0.2,0.368952531940531,0.25910945093885884,0.4962341500886928,0.053244411943948196
plannerC_path_dev,oracle,multimetric_dE_oracle [scene-z],0.3,0.3839437427736909,0.25464254316912405,0.5024182779122004,0.05657948459764225
plannerC_path_dev,oracle,multimetric_dE_oracle [scene-z],0.5,0.36552229901792377,0.2160510277762702,0.5112305803867805,0.0538648270133927
plannerC_path_dev,oracle,PKL_gain [scene-z],0.1,0.7851772583476251,0.7289622616084586,0.8379777127101464,0.09772677240744669
plannerC_path_dev,oracle,PKL_gain [scene-z],0.2,0.7818403287682044,0.7200137112412157,0.8394283416899085,0.11282922580955755
plannerC_path_dev,oracle,PKL_gain [scene-z],0.3,0.7827287897010001,0.7263247133126739,0.8388364767470411,0.11534604309757629
plannerC_path_dev,oracle,PKL_gain [scene-z],0.5,0.8562457480974673,0.8064445420576086,0.8970348786367488,0.12617979594170117
