quota,policy,mode,total_risk,risk_sd,risk_all_cheap,risk_all_full,risk_oracle,risk_reduction,eta,frac_of_full_gain,n_selected,std_err_total,mean_latency_ms,extra_compute_ms,risk_per_extra_ms,risk_per_1000_extra_ms,total_frames,std_err_captured
0.3,criticality_heuristic,pooled,608.6680854234564,0.0,703.3057591408106,441.00440110880066,334.65579231307606,94.63767371735412,0.256714179392771,0.36079749806634637,751,5355.0,8.36,3905.2000000000003,0.024233758505929046,24.233758505929046,2503.3333333333335,0.2597194388777555
0.3,riskweighted_uncertainty,pooled,617.6107097107202,0.0,703.3057591408106,441.00440110880066,334.65579231307606,85.69504943009031,0.23245641432577296,0.3267045587298581,751,5326.0,8.36,3905.2000000000003,0.021943831155917828,21.943831155917827,2503.3333333333335,0.27134268537074147
0.3,learned_uncertainty,pooled,557.8713404393433,0.0,703.3057591408106,441.00440110880066,334.65579231307606,145.43441870146728,0.3945054436134724,0.5544554545680973,751,4909.0,8.36,3905.2000000000003,0.03724122162794921,37.24122162794921,2503.3333333333335,0.43847695390781566
0.3,learned_criticality,pooled,493.85323632765176,0.0,703.3057591408106,441.00440110880066,334.65579231307606,209.4525228131588,0.5681609701894625,0.7985186366728544,751,4943.0,8.36,3905.2000000000003,0.053634262729990466,53.63426272999047,2503.3333333333335,0.4248496993987976
0.3,learned_unc_crit,pooled,506.03462120121617,0.0,703.3057591408106,441.00440110880066,334.65579231307606,197.27113793959438,0.5351177422776677,0.7520782180453692,751,4930.0,8.36,3905.2000000000003,0.050514989741778746,50.51498974177875,2503.3333333333335,0.43006012024048096
0.3,learned_all_visual,pooled,570.6824222801114,0.0,703.3057591408106,441.00440110880066,334.65579231307606,132.62333686069917,0.35975409953765813,0.5056143736949867,751,4947.0,8.36,3905.2000000000003,0.03396070287327132,33.960702873271316,2503.3333333333335,0.42324649298597194
0.3,learned_all,pooled,503.89804268797167,0.0,703.3057591408106,441.00440110880066,334.65579231307606,199.40771645283888,0.540913425732165,0.7602237287254312,751,4950.0,8.36,3905.2000000000003,0.051062100904649924,51.062100904649924,2503.3333333333335,0.4220440881763527
0.3,oracle,pooled,334.65579231307606,0.0,703.3057591408106,441.00440110880066,334.65579231307606,368.6499668277345,1.0,1.4054443697647436,751,4460.0,8.36,3905.2000000000003,0.09439976616504518,94.39976616504518,2503.3333333333335,0.618436873747495
0.5,random,pooled,570.4686867304476,8.395285580014184,703.3057591408106,441.00440110880066,308.6583911046192,132.8370724103629,0.3365968790603489,0.5064292209808238,1251,4744.015625,9.4,6505.2,0.020420136569261962,20.420136569261963,2502.0,0.5046029559118237
0.5,lowest_confidence,pooled,555.9305159558617,0.0,703.3057591408106,441.00440110880066,308.6583911046192,147.37524318494889,0.37343526175862846,0.5618546708666449,1251,4686.0,9.4,6505.2,0.022654990343870886,22.654990343870885,2502.0,0.5278557114228457
0.5,lowest_min_confidence,pooled,584.440888046306,0.0,703.3057591408106,441.00440110880066,308.6583911046192,118.86487109450457,0.3011926107248332,0.45316147802787554,1251,4812.0,9.4,6505.2,0.018272285416974815,18.272285416974814,2502.0,0.4773547094188377
0.5,highest_uncertainty,pooled,575.2691225985789,0.0,703.3057591408106,441.00440110880066,308.6583911046192,128.0366365422317,0.324433017707317,0.4881279971360528,1251,4850.0,9.4,6505.2,0.019682198324760453,19.682198324760453,2502.0,0.46212424849699396
0.5,highest_entropy,pooled,574.0719832946972,0.0,703.3057591408106,441.00440110880066,308.6583911046192,129.2337758461133,0.32746645819328474,0.4926919815273785,1251,4850.0,9.4,6505.2,0.01986622637983664,19.86622637983664,2502.0,0.46212424849699396
0.5,scene_complexity,pooled,580.3995460131102,0.0,703.3057591408106,441.00440110880066,308.6583911046192,122.90621312770031,0.311432998373447,0.46856872587255716,1251,4821.0,9.4,6505.2,0.018893533346814904,18.893533346814905,2502.0,0.47374749498998
0.5,criticality_heuristic,pooled,562.8792946546431,0.0,703.3057591408106,441.00440110880066,308.6583911046192,140.42646448616745,0.3558276979900942,0.5353630859548602,1251,4818.0,9.4,6505.2,0.02158680201779614,21.586802017796142,2502.0,0.4749498997995992
0.5,riskweighted_uncertainty,pooled,570.1129125024562,0.0,703.3057591408106,441.00440110880066,308.6583911046192,133.19284663835435,0.33749837811192457,0.5077855777708181,1251,4824.0,9.4,6505.2,0.020474827313280815,20.474827313280816,2502.0,0.4725450901803607
0.5,learned_uncertainty,pooled,494.6433458824799,0.0,703.3057591408106,441.00440110880066,308.6583911046192,208.66241325833067,0.528731293196399,0.7955064160699717,1251,4440.0,9.4,6505.2,0.03207624873306442,32.076248733064425,2502.0,0.6264529058116233
0.5,learned_criticality,pooled,458.7269938921801,0.0,703.3057591408106,441.00440110880066,308.6583911046192,244.57876524863048,0.6197400136371903,0.932434231693087,1251,4486.0,9.4,6505.2,0.037597424406418015,37.597424406418014,2502.0,0.6080160320641282
0.5,learned_unc_crit,pooled,471.12838755191535,0.0,703.3057591408106,441.00440110880066,308.6583911046192,232.1773715888952,0.5883160268982289,0.8851550496378349,1251,4510.0,9.4,6505.2,0.03569104279482494,35.69104279482494,2502.0,0.5983967935871743
0.5,learned_all_visual,pooled,516.0345359321757,0.0,703.3057591408106,441.00440110880066,308.6583911046192,187.27122320863486,0.47452799226944564,0.7139544553398053,1251,4474.0,9.4,6505.2,0.028787927075053014,28.787927075053013,2502.0,0.6128256513026052
0.5,learned_all,pooled,464.2708271061414,0.0,703.3057591408106,441.00440110880066,308.6583911046192,239.03493203466917,0.6056924520341622,0.9112988732810853,1251,4479.0,9.4,6505.2,0.03674520876140152,36.74520876140152,2502.0,0.6108216432865732
0.5,oracle,pooled,308.6583911046192,0.0,703.3057591408106,441.00440110880066,308.6583911046192,394.6473680361913,1.0,1.504557090352657,1251,3682.0,9.4,6505.2,0.06066644654064308,60.66644654064308,2502.0,0.9302605210420841
