cell,t_cheap,t_full,affected,harm_rate,rho
KITTI mono Y8 512->640 q_traj,0.45,0.35,672,0.4211309523809524,0.11571898334482594
KITTI mono Y8 512->640 q_traj,0.45,0.45,651,0.4055299539170507,0.238772633194004
KITTI mono Y8 512->640 q_traj,0.45,0.55,636,0.3977987421383648,0.3809970289842253
KITTI mono Y8 512->640 q_traj,0.55,0.15,949,0.512118018967334,0.07405585205307381
KITTI mono Y8 512->640 q_traj,0.55,0.25,857,0.4539089848308051,0.06795650928198761
KITTI mono Y8 512->640 q_traj,0.55,0.35,826,0.43099273607748184,0.06636560111695472
KITTI mono Y8 512->640 q_traj,0.55,0.45,804,0.4191542288557214,0.12758594328754327
KITTI mono Y8 512->640 q_traj,0.55,0.55,760,0.40921052631578947,0.1647213719229801
KITTI mono Y8 512->640 q_brake,0.15,0.15,2536,0.4582018927444795,0.7063332048319844
KITTI mono Y8 512->640 q_brake,0.15,0.25,2431,0.41423282599753186,0.6251812882633959
KITTI mono Y8 512->640 q_brake,0.15,0.35,2409,0.37941054379410544,0.6058420445348283
KITTI mono Y8 512->640 q_brake,0.15,0.45,2428,0.34925864909390447,0.6121147909274691
KITTI mono Y8 512->640 q_brake,0.15,0.55,2505,0.3337325349301397,0.7326633921962268
KITTI mono Y8 512->640 q_brake,0.25,0.15,2516,0.5003974562798092,0.7773764353678849
KITTI mono Y8 512->640 q_brake,0.25,0.25,2325,0.4572043010752688,0.6794995286298516
KITTI mono Y8 512->640 q_brake,0.25,0.35,2217,0.41632837167343256,0.6380846135995311
KITTI mono Y8 512->640 q_brake,0.25,0.45,2129,0.37623297322686705,0.615328792583955
KITTI mono Y8 512->640 q_brake,0.25,0.55,2170,0.35207373271889403,0.7475357208326875
KITTI mono Y8 512->640 q_brake,0.35,0.15,2580,0.5244186046511627,0.7187286964947056
KITTI mono Y8 512->640 q_brake,0.35,0.25,2365,0.48456659619450315,0.6224137390775896
KITTI mono Y8 512->640 q_brake,0.35,0.35,2184,0.44871794871794873,0.568140861630644
KITTI mono Y8 512->640 q_brake,0.35,0.45,1989,0.4042232277526395,0.5204950154056479
KITTI mono Y8 512->640 q_brake,0.35,0.55,1921,0.36907860489328476,0.6077382182358753
KITTI mono Y8 512->640 q_brake,0.45,0.15,2670,0.5543071161048689,0.5963011712949189
KITTI mono Y8 512->640 q_brake,0.45,0.25,2402,0.5187343880099917,0.5074310001317942
KITTI mono Y8 512->640 q_brake,0.45,0.35,2178,0.48806244260789716,0.4426493506741372
KITTI mono Y8 512->640 q_brake,0.45,0.45,1947,0.445814072932717,0.38223099856594495
KITTI mono Y8 512->640 q_brake,0.45,0.55,1742,0.4052812858783008,0.4058025408991064
KITTI mono Y8 512->640 q_brake,0.55,0.15,2847,0.5468914646996839,0.41826090410386846
KITTI mono Y8 512->640 q_brake,0.55,0.25,2568,0.5151869158878505,0.3501339233362521
KITTI mono Y8 512->640 q_brake,0.55,0.35,2320,0.4875,0.2976411312157579
KITTI mono Y8 512->640 q_brake,0.55,0.45,2047,0.44797264289203714,0.24345994774352384
KITTI mono Y8 512->640 q_brake,0.55,0.55,1760,0.4068181818181818,0.2182449769220398
KITTI mono RT-DETR 480->640 q_traj,0.15,0.15,967,0.35263702171664946,0.43147295448704265
KITTI mono RT-DETR 480->640 q_traj,0.15,0.25,956,0.3023012552301255,0.843600556904073
KITTI mono RT-DETR 480->640 q_traj,0.15,0.35,1004,0.27091633466135456,0.911150590340103
KITTI mono RT-DETR 480->640 q_traj,0.15,0.45,1027,0.24050632911392406,0.9202536869456128
KITTI mono RT-DETR 480->640 q_traj,0.15,0.55,1053,0.22981956315289648,0.9152595535123447
KITTI mono RT-DETR 480->640 q_traj,0.25,0.15,787,0.4764930114358323,0.298413336351602
KITTI mono RT-DETR 480->640 q_traj,0.25,0.25,730,0.4136986301369863,0.5480288170458063
KITTI mono RT-DETR 480->640 q_traj,0.25,0.35,762,0.3648293963254593,0.6172510016583672
KITTI mono RT-DETR 480->640 q_traj,0.25,0.45,775,0.32,0.6313194018270872
KITTI mono RT-DETR 480->640 q_traj,0.25,0.55,795,0.2993710691823899,0.6266390306135006
KITTI mono RT-DETR 480->640 q_traj,0.35,0.15,802,0.5660847880299252,0.2703502058541223
KITTI mono RT-DETR 480->640 q_traj,0.35,0.25,710,0.5070422535211268,0.5070880380681845
KITTI mono RT-DETR 480->640 q_traj,0.35,0.35,704,0.4431818181818182,0.5758621316547002
KITTI mono RT-DETR 480->640 q_traj,0.35,0.45,681,0.38472834067547723,0.5890636747972116
KITTI mono RT-DETR 480->640 q_traj,0.35,0.55,695,0.35827338129496406,0.5843366379941447
KITTI mono RT-DETR 480->640 q_traj,0.45,0.15,813,0.6027060270602707,0.21583579756505716
KITTI mono RT-DETR 480->640 q_traj,0.45,0.25,711,0.5555555555555556,0.38955342567982143
KITTI mono RT-DETR 480->640 q_traj,0.45,0.35,679,0.49189985272459497,0.44452783712906085
KITTI mono RT-DETR 480->640 q_traj,0.45,0.45,642,0.43302180685358255,0.4562689257815732
KITTI mono RT-DETR 480->640 q_traj,0.45,0.55,643,0.39968895800933124,0.45199581576956704
KITTI mono RT-DETR 480->640 q_traj,0.55,0.15,856,0.6355140186915887,0.19552617282535867
KITTI mono RT-DETR 480->640 q_traj,0.55,0.25,750,0.5986666666666667,0.3396662580706972
KITTI mono RT-DETR 480->640 q_traj,0.55,0.35,683,0.5387994143484627,0.3857087948897931
KITTI mono RT-DETR 480->640 q_traj,0.55,0.45,642,0.48130841121495327,0.39637737943796686
KITTI mono RT-DETR 480->640 q_traj,0.55,0.55,628,0.44904458598726116,0.3920948770209797
KITTI mono RT-DETR 480->640 q_brake,0.15,0.15,3267,0.4276094276094276,0.6930336284096942
KITTI mono RT-DETR 480->640 q_brake,0.15,0.25,3672,0.3292483660130719,0.44748022472442334
KITTI mono RT-DETR 480->640 q_brake,0.15,0.35,4017,0.2790639780931043,0.4150850735807746
KITTI mono RT-DETR 480->640 q_brake,0.15,0.45,4163,0.24693730482824885,0.41360030070644116
KITTI mono RT-DETR 480->640 q_brake,0.15,0.55,4256,0.23026315789473684,0.42059411872000657
KITTI mono RT-DETR 480->640 q_brake,0.25,0.15,3374,0.5696502667457024,1.436732221725957
KITTI mono RT-DETR 480->640 q_brake,0.25,0.25,3091,0.44548689744419284,0.8048020416752143
KITTI mono RT-DETR 480->640 q_brake,0.25,0.35,3168,0.36174242424242425,0.6442316293846786
KITTI mono RT-DETR 480->640 q_brake,0.25,0.45,3237,0.3086190917516219,0.5924754961675863
KITTI mono RT-DETR 480->640 q_brake,0.25,0.55,3290,0.2826747720364742,0.5772679976848767
KITTI mono RT-DETR 480->640 q_brake,0.35,0.15,3634,0.6463951568519538,1.9341012331694492
KITTI mono RT-DETR 480->640 q_brake,0.35,0.25,3042,0.5473372781065089,1.229411767438198
