track,geometry,system,target,signal,budget_level,budget_per_frame,n_frames,feasible,overhead,overhead_source,escalated_frac,eta,eta_lo,eta_hi,minus_random,minus_random_lo,minus_random_hi,note,row_type,n_cells
nuScenes,oracle,plan_ade,JC_ade,dE_exact,0.3,18.51529400119034,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
nuScenes,oracle,plan_ade,JC_ade,dE_E6_risk_weighted,0.3,18.51529400119034,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
nuScenes,oracle,plan_ade,JC_ade,PKL,0.3,18.51529400119034,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
nuScenes,oracle,plan_ade,JC_ade,TIP,0.3,18.51529400119034,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
nuScenes,oracle,plan_ade,JC_ade,random,0.5,22.38554650102742,752.0,True,0.0,none,0.5,0.0431527056422346,-0.2738681228657619,0.2209340437460305,0.0,0.0,0.0,,cell,
nuScenes,oracle,plan_ade,JC_ade,oracle,0.5,22.38554650102742,752.0,True,0.0,none,0.5,1.0,1.0,1.0,0.9751696286098788,0.7790659562539693,1.273868122865762,,cell,
nuScenes,oracle,plan_ade,JC_ade,gate_ridge,0.5,22.38554650102742,752.0,True,3.925717499981829,measured,0.2971337787316417,-0.0164509608470509,-0.4195515037459795,0.3294510995122764,-0.0406800024537185,-0.3569514578316598,0.3241449398407966,,cell,
nuScenes,oracle,plan_ade,JC_ade,gate_gbm,0.5,22.38554650102742,752.0,True,21.37658250001095,measured,0.0,0.0,0.0,0.0,-0.024830371390121,-0.2209340437460307,0.2738681228657619,,cell,
nuScenes,oracle,plan_ade,JC_ade,uncertainty,0.5,22.38554650102742,752.0,True,0.2944104999755836,measured,0.4847859797267503,0.0328183981193167,-0.5081829020129662,0.3887607750769757,-0.0251416100914297,-0.3409353674906436,0.2652787514677856,,cell,
nuScenes,oracle,plan_ade,JC_ade,criticality_cheap,0.5,22.38554650102742,752.0,True,1.4709314999947765,measured,0.4239878276646448,-0.0633602188240373,-0.5207405273594364,0.2328242597401646,-0.1170701813014413,-0.4020149358057921,0.1750099072717822,,cell,
nuScenes,oracle,plan_ade,JC_ade,gate_gbm_batched,0.5,22.38554650102742,752.0,True,3.5357949274881264,measured,0.3172835013923785,-0.0798585543037514,-0.4604647352538312,0.1895557528215805,-0.1122946172473428,-0.3305548000210744,0.1537225976235715,,cell,
nuScenes,oracle,plan_ade,JC_ade,R1_mlp_reg,0.5,22.38554650102742,752.0,True,0.6491920000541995,measured,0.4664522146768704,0.1255532352514867,-0.1403131972310394,0.3451933190495745,0.0967013566720156,-0.0635440060607826,0.3147392801066141,,cell,
nuScenes,oracle,plan_ade,JC_ade,R1_mlp_clf,0.5,22.38554650102742,752.0,True,0.6491920000541995,measured,0.4664522146768704,0.0435417536675807,-0.2917496189461218,0.2424223514492406,-0.0016763533354799,-0.163183595298586,0.173503113217377,,cell,
nuScenes,oracle,plan_ade,JC_ade,R1_gbm_reg,0.5,22.38554650102742,752.0,True,15.909292499998172,measured,0.0,0.0,0.0,0.0,-0.024830371390121,-0.2209340437460307,0.2738681228657619,,cell,
nuScenes,oracle,plan_ade,JC_ade,R1_gbm_clf,0.5,22.38554650102742,752.0,True,15.909292499998172,measured,0.0,0.0,0.0,0.0,-0.024830371390121,-0.2209340437460307,0.2738681228657619,,cell,
nuScenes,oracle,plan_ade,JC_ade,R2_cnn_clf,0.5,22.38554650102742,752.0,True,9.765887999975575,measured,0.0,0.0,0.0,0.0,-0.024830371390121,-0.2209340437460307,0.2738681228657619,,cell,
nuScenes,oracle,plan_ade,JC_ade,criticality_gt,0.5,22.38554650102742,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
nuScenes,oracle,plan_ade,JC_ade,dE_exact,0.5,22.38554650102742,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
nuScenes,oracle,plan_ade,JC_ade,dE_E6_risk_weighted,0.5,22.38554650102742,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
nuScenes,oracle,plan_ade,JC_ade,PKL,0.5,22.38554650102742,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
nuScenes,oracle,plan_ade,JC_ade,TIP,0.5,22.38554650102742,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
nuScenes,oracle,plan_fde,JC_fde,random,0.1,14.645041501353262,752.0,True,0.0,none,0.1,0.0273373228025958,-0.0330126544382185,0.0664151210037855,0.0,0.0,0.0,,cell,
nuScenes,oracle,plan_fde,JC_fde,oracle,0.1,14.645041501353262,752.0,True,0.0,none,0.1,1.0,1.0,1.0,0.973883348916708,0.9335848789962145,1.0330126544382183,,cell,
nuScenes,oracle,plan_fde,JC_fde,gate_ridge,0.1,14.645041501353262,752.0,True,3.925717499981829,measured,0.0,0.0,0.0,0.0,-0.0261166510832919,-0.0664151210037856,0.0330126544382185,,cell,
nuScenes,oracle,plan_fde,JC_fde,gate_gbm,0.1,14.645041501353262,752.0,True,21.37658250001095,measured,0.0,0.0,0.0,0.0,-0.0261166510832919,-0.0664151210037856,0.0330126544382185,,cell,
nuScenes,oracle,plan_fde,JC_fde,uncertainty,0.1,14.645041501353262,752.0,True,0.2944104999755836,measured,0.0847859797267502,0.0318296024377895,-0.1418988832206659,0.1669389792867811,0.0149518901650116,-0.1654637372039763,0.1654362600250203,,cell,
nuScenes,oracle,plan_fde,JC_fde,criticality_cheap,0.1,14.645041501353262,752.0,True,1.4709314999947765,measured,0.0239878276646448,0.0481121173957126,-0.0101492652210531,0.148001326909583,0.0269128790182692,-0.051854907102665,0.1760143755148452,,cell,
nuScenes,oracle,plan_fde,JC_fde,gate_gbm_batched,0.1,14.645041501353262,752.0,True,3.5357949274881264,measured,0.0,0.0,0.0,0.0,-0.0261166510832919,-0.0664151210037856,0.0330126544382185,,cell,
nuScenes,oracle,plan_fde,JC_fde,R1_mlp_reg,0.1,14.645041501353262,752.0,True,0.6491920000541995,measured,0.0664522146768704,0.1164288380530745,0.0010074653909977,0.2229201512425134,0.0776699061766003,-0.0283442104184202,0.220075695938062,,cell,
nuScenes,oracle,plan_fde,JC_fde,R1_mlp_clf,0.1,14.645041501353262,752.0,True,0.6491920000541995,measured,0.0664522146768704,0.2090390270119722,0.0159767521473118,0.4408889706718317,0.1651681292399935,0.0041310308098382,0.3911422925711689,,cell,
nuScenes,oracle,plan_fde,JC_fde,R1_gbm_reg,0.1,14.645041501353262,752.0,True,15.909292499998172,measured,0.0,0.0,0.0,0.0,-0.0261166510832919,-0.0664151210037856,0.0330126544382185,,cell,
nuScenes,oracle,plan_fde,JC_fde,R1_gbm_clf,0.1,14.645041501353262,752.0,True,15.909292499998172,measured,0.0,0.0,0.0,0.0,-0.0261166510832919,-0.0664151210037856,0.0330126544382185,,cell,
nuScenes,oracle,plan_fde,JC_fde,R2_cnn_clf,0.1,14.645041501353262,752.0,True,9.765887999975575,measured,0.0,0.0,0.0,0.0,-0.0261166510832919,-0.0664151210037856,0.0330126544382185,,cell,
nuScenes,oracle,plan_fde,JC_fde,criticality_gt,0.1,14.645041501353262,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
nuScenes,oracle,plan_fde,JC_fde,dE_exact,0.1,14.645041501353262,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
nuScenes,oracle,plan_fde,JC_fde,dE_E6_risk_weighted,0.1,14.645041501353262,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
nuScenes,oracle,plan_fde,JC_fde,PKL,0.1,14.645041501353262,752.0,False,,,,,,,,,,needs FULL on every frame: >= 32.06 ms per frame before computing the metric,cell,
