planner,loss,split,variant,logs,states_failed,states,affected,v_pos,v_neg,harm_rate,rho,all_full_reduction,oracle20_reduction,selective_extra_share,all_cheap_cost,all_full_cost,harm_rate_lo,harm_rate_hi,harm_rate_finite_draws,rho_lo,rho_hi,rho_finite_draws,all_full_reduction_lo,all_full_reduction_hi,all_full_reduction_finite_draws,oracle20_reduction_lo,oracle20_reduction_hi,oracle20_reduction_finite_draws
pdm_closed,collision,all,s1,34,0,1440,25,20,5,0.2,0.25,0.14423076923076922,0.19230769230769232,0.2500000000000001,104.0,89.0,0.0,0.7146103896103894,1000,0.0,2.5,999,-0.05405405405405406,0.42108969607116375,1000,0.027768264840182647,0.47625754527162967,1000
pdm_closed,clearance_shortfall,all,s1,34,0,1440,35,26,9,0.2571428571428571,0.23924060796638236,0.06561343552415344,0.0862472894994557,0.23924060796638114,260.36073098007523,243.2775689448926,0.11764705882352941,0.7142857142857143,1000,0.012237148629727615,2.4739251745062334,1000,-0.02022113809996906,0.19865463320917018,1000,0.010907284278290828,0.2281780239180727,1000
pdm_closed,log_deviation,all,s1,34,0,1440,76,43,33,0.4342105263157895,0.44229258555800766,0.021463657458653418,0.03848551570742281,0.44229258555800877,3489.0501254162536,3414.1623486682474,0.28980294025649045,0.6786284194528875,1000,0.24303349276640338,2.654573436207683,1000,-0.010792565099906025,0.07416957324286401,1000,0.004695481957601716,0.10296329762084344,1000
pdm_closed,safety,all,s1,34,0,1440,35,26,9,0.2571428571428571,0.24844913997126258,0.12276805153387842,0.16335295196014304,0.2484491399712633,1430.5410964701127,1254.916353417339,0.11764705882352941,0.7142857142857143,1000,0.0016466289251156228,2.5035225910653085,1000,-0.0445547955886968,0.3520030434807133,1000,0.023271091008430316,0.38694008584259454,1000
pdm_closed,scalar_J,all,s1,34,0,1440,76,43,33,0.4342105263157895,0.2588091671276339,0.10290478582083679,0.13883710005161012,0.25880916712763496,1779.446109011738,1596.3325882841636,0.28980294025649045,0.6786284194528875,1000,0.02832362527816646,2.539268987631937,1000,-0.03652079535504348,0.2912816608556933,1000,0.01903946476914211,0.3265722461159403,1000
pdm_closed,collision,test,s1,9,0,384,17,16,1,0.058823529411764705,0.0625,0.45454545454545453,0.48484848484848486,0.06250000000000006,33.0,18.0,0.0,0.0625,1000,0.0,0.06666666666666667,906,0.0,0.7187223695844386,996,0.0,0.7692307692307693,996
pdm_closed,clearance_shortfall,test,s1,9,0,384,22,20,2,0.09090909090909091,0.07273335735978669,0.2945063928949543,0.3176070176065042,0.07273335735978671,57.73825326051798,40.733968560707495,0.0,0.09523809523809523,1000,0.0,0.07692836515583011,906,0.0,0.5916140603357443,1000,0.0,0.6315112033176292,1000
pdm_closed,log_deviation,test,s1,9,0,384,39,28,11,0.28205128205128205,0.22912477477605644,0.11637157231992375,0.15096032212751073,0.2291247747760575,737.6503267427848,651.8087983974215,0.17227011494252875,0.6666666666666666,1000,0.03489853100564798,0.4374713390365217,995,0.005911483527609342,0.2763202811370079,1000,0.006347376840531163,0.35301568403998135,1000
pdm_closed,safety,test,s1,9,0,384,22,20,2,0.09090909090909091,0.06400122361118357,0.4212753674592339,0.45008110917041955,0.06400122361118382,416.60737989077694,241.10095284106123,0.0,0.09523809523809523,1000,0.0,0.0681829527737903,906,0.0,0.6860098693189567,1000,0.0,0.735732938253709,1000
pdm_closed,scalar_J,test,s1,9,0,384,39,28,11,0.28205128205128205,0.07325778643640576,0.37540973995927956,0.4050853996557681,0.0732577864364063,490.3724125650554,306.2818326808034,0.17227011494252875,0.6666666666666666,1000,0.0013391392213347128,0.4374713390365216,995,0.0036600637409134763,0.6336873146341573,1000,0.005850405422918277,0.6848359061288773,1000
