group,track,geometry,trained_for,evaluated_on,diagonal,signal,quota,coverage,n_test_frames,n_test_units,gain,gain_random,delta_vs_random,gain_share_all_cheap,ndg,official_ndg,matches_3dp,undefined_reason,ndg_diag,transfer_regret,delta_lo_all_draws,delta_hi_all_draws,beats_random_all_draws,delta_lo_filtered,beats_random_filtered,draws_dropped_by_filter,delta_share_lo_all_draws,n_entries,median_transfer_regret,off_diag_beating_random_all_draws,off_diag_beating_random_filtered,diag_beating_random_all_draws,n_diag_entries
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_mlp_reg,0.3,1.0,3536.0,6.0,622.0855304399654,242.26426278826864,379.82126765169676,0.07818298181921461,0.26769833960723205,0.267698339607232,True,,0.26769833960723205,0.0,64.56473563581972,821.0016526279396,True,64.56473563581993,True,4.0,0.0081144204540614,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_mlp_reg,0.5,1.0,3536.0,6.0,909.8380622172692,403.697659387049,506.14040283022024,0.11434738343207135,0.3915251627774832,0.3915251627774832,True,,0.3915251627774832,0.0,13.342577430616101,941.9568262619451,True,13.210699273123693,True,4.0,0.0016768795248163913,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_mlp_clf,0.1,1.0,3536.0,6.0,158.2463045862215,80.83086618948832,77.41543839673318,0.01988821046146553,0.07742124619458171,0.0774212461945817,True,,0.07742124619458171,0.0,-47.09703925495152,260.01399677706416,False,-47.09703925495152,False,1.0,-0.005919100804682777,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_mlp_clf,0.2,1.0,3536.0,6.0,390.9727133656751,161.43339659878035,229.53931676689473,0.04913699329939245,0.16844804900571136,0.1684480490057113,True,,0.16844804900571136,0.0,-32.89923176535473,601.1237823058955,False,-32.95214762439515,False,4.0,-0.004134736966406718,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_mlp_clf,0.3,1.0,3536.0,6.0,538.2763856749109,242.26426278826864,296.01212288664226,0.06764994653576088,0.23163325241312896,0.2316332524131289,True,,0.23163325241312896,0.0,5.98185805782319,719.1989422863464,True,6.102106945653837,True,4.0,0.0007517929237948197,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_mlp_clf,0.5,1.0,3536.0,6.0,796.931905596367,403.697659387049,393.234246209318,0.10015746973302368,0.34293893278194976,0.3429389327819497,True,,0.34293893278194976,0.0,35.71975604493527,806.76878993408,True,46.45222410085443,True,4.0,0.004489217158728728,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_gbm_reg,0.1,1.0,3536.0,6.0,173.4138412010857,80.83086618948832,92.58297501159737,0.021794448721923897,0.08484189079980796,0.0848418907998079,True,,0.08484189079980796,0.0,-0.8455184599694284,577.5842626246713,False,-0.8762959786619476,False,1.0,-0.00010626377105548135,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_gbm_reg,0.2,1.0,3536.0,6.0,471.65256725799867,161.43339659878035,310.2191706592183,0.05927674296625786,0.203208438970616,0.203208438970616,True,,0.203208438970616,0.0,12.14275655226902,896.3565944264234,True,12.14275655226902,True,4.0,0.0015260874402427786,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_gbm_reg,0.3,1.0,3536.0,6.0,767.7191360580568,242.26426278826864,525.4548732697882,0.09648604302729834,0.330367976670491,0.330367976670491,True,,0.330367976670491,0.0,56.72359402442447,1014.0690357248823,True,56.72870893491877,True,4.0,0.007128954948036801,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_gbm_reg,0.5,1.0,3536.0,6.0,928.2770748659938,403.697659387049,524.5794154789448,0.1166647769738564,0.399459912628632,0.399459912628632,True,,0.399459912628632,0.0,74.09648341820831,979.9650381627682,True,74.20262004270573,True,4.0,0.009312359366173332,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_gbm_clf,0.1,1.0,3536.0,6.0,322.58983439875465,80.83086618948832,241.75896820926633,0.040542713057517825,0.15782553061292737,0.1578255306129273,True,,0.15782553061292737,0.0,-3.2925893704759375,579.8494942364088,False,-3.2925893704759375,False,1.0,-0.0004138087807764922,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_gbm_clf,0.2,1.0,3536.0,6.0,510.68340441000385,161.43339659878035,349.2500078112235,0.06418209292558863,0.2200246211351387,0.2200246211351387,True,,0.2200246211351387,0.0,-85.22136663084449,826.9623433772451,False,-87.2433017750893,False,4.0,-0.010710521675686105,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_gbm_clf,0.3,1.0,3536.0,6.0,666.135211227683,242.26426278826864,423.8709484394144,0.08371909417619652,0.28665397485365995,0.2866539748536599,True,,0.28665397485365995,0.0,-105.46556012802111,839.3147699967557,False,-106.19918192835672,False,4.0,-0.013254788235004778,,,,,,
KITTI mono,KITTI,mono,brake/J,brake/J,True,R1_gbm_clf,0.5,1.0,3536.0,6.0,744.653850252032,403.697659387049,340.95619086498306,0.09358722488640371,0.3204424304060212,0.3204424304060212,True,,0.3204424304060212,0.0,-149.19166239683736,836.27380599909,False,-150.07363171374428,False,4.0,-0.018750233622217328,,,,,,
KITTI mono,KITTI,mono,brake/J,traj/JB,False,gate_ridge,0.1,1.0,3536.0,6.0,28.61246326071459,38.598974916481346,-9.986511655766755,0.012152086009876082,0.04941082340264296,,,,0.13076173061407526,-0.08135090721143229,-66.69116079476768,73.2655738435077,False,-66.69116079476768,False,29.0,-0.028324605074783484,,,,,,
KITTI mono,KITTI,mono,brake/J,traj/JB,False,gate_ridge,0.2,1.0,3536.0,6.0,102.63811993927658,77.08891318065625,25.54920675862033,0.043591747065922344,0.17724562797995969,,,,0.12530580770444688,0.051939820275512805,-74.25271662667987,96.21064423369575,False,-78.89397722946288,False,29.0,-0.03153609637494154,,,,,,
KITTI mono,KITTI,mono,brake/J,traj/JB,False,gate_ridge,0.3,1.0,3536.0,6.0,133.66030599639913,115.68788809713757,17.972417899261558,0.05676727374971324,0.23081779836128508,,,,0.15652123119599715,0.07429656716528793,-73.90093450226982,133.88487216666803,False,-73.90093450226982,False,29.0,-0.03138668992245909,,,,,,
KITTI mono,KITTI,mono,brake/J,traj/JB,False,gate_ridge,0.5,1.0,3536.0,6.0,149.07371900945614,192.77680127779382,-43.70308226833768,0.06331355111610781,0.25743520006768883,,,,0.2508213540058849,0.00661384606180393,-168.03849903485983,133.15639816676108,False,-168.03849903485985,False,29.0,-0.07136814033225242,,,,,,
KITTI mono,KITTI,mono,brake/J,traj/JB,False,gate_gbm,0.1,1.0,3536.0,6.0,76.40792938294383,38.598974916481346,37.80895446646249,0.032451443318161965,0.13194874802988082,,,,0.10211170950548476,0.029837038524396065,-28.778058587896542,206.13888874932508,False,-28.778058587896542,False,29.0,-0.012222416503284232,,,,,,
KITTI mono,KITTI,mono,brake/J,traj/JB,False,gate_gbm,0.2,1.0,3536.0,6.0,120.94892575957873,77.08891318065625,43.86001257892248,0.05136858491490152,0.20886653333518915,,,,0.25894652526682105,-0.0500799919316319,-35.8018424136325,195.90989458952336,False,-37.17620554428315,False,29.0,-0.015205509024448316,,,,,,
KITTI mono,KITTI,mono,brake/J,traj/JB,False,gate_gbm,0.3,1.0,3536.0,6.0,181.16310894010564,115.68788809713757,65.47522084296807,0.07694233319224301,0.3128503233485591,,,,0.31535652364593225,-0.00250620029737314,-45.84034474234458,174.48934281397345,False,-45.84034474234458,False,29.0,-0.019468991780102675,,,,,,
KITTI mono,KITTI,mono,brake/J,traj/JB,False,gate_gbm,0.5,1.0,3536.0,6.0,156.92350449222187,192.77680127779382,-35.853296785571956,0.0666474573050454,0.27099098380792036,,,,0.4127139224212194,-0.14172293861329904,-73.48203810477767,139.01445649643955,False,-73.70081057974616,False,29.0,-0.031208779163599643,,,,,,
KITTI mono,KITTI,mono,brake/J,traj/JB,False,R1_mlp_reg,0.1,1.0,3536.0,6.0,61.84130960839218,38.598974916481346,23.242334691910834,0.026264810075138888,0.10679367240093118,,,,0.13980378267280494,-0.033010110271873755,-14.588601546094678,172.2497853891655,False,-14.592026622555226,False,29.0,-0.006195969187852654,,,,,,
KITTI mono,KITTI,mono,brake/J,traj/JB,False,R1_mlp_reg,0.2,1.0,3536.0,6.0,151.6078092493302,77.08891318065625,74.51889606867394,0.06438981226395586,0.26181131701322613,,,,0.21338535030208974,0.04842596671113639,-30.612440431855262,189.52223560454073,False,-31.017633408272303,False,29.0,-0.013001502377143549,,,,,,
