task,variant,signal,quota,eta,eta_lo,eta_hi,reduction_frac
plannerC_ade_truth,mono,random,0.1,0.026900226259946133,-0.0363573160239468,0.10601799393923672,0.0012222274068370712
plannerC_ade_truth,mono,random,0.2,0.04558796684332722,-0.039192141133062026,0.15040056600533347,0.0023568286843412074
plannerC_ade_truth,mono,random,0.3,0.07982673780009966,-0.03734089218989307,0.19853966789020172,0.004238662350264272
plannerC_ade_truth,mono,random,0.5,0.15503263828265293,-0.03006040574019554,0.2591923453202866,0.00823196619403881
plannerC_ade_truth,mono,uncertainty,0.1,0.026022703501452596,-0.065173582898229,0.12431613106429784,0.0011823566505397144
plannerC_ade_truth,mono,uncertainty,0.2,0.0893303388817518,-0.026817729568019564,0.18318177223619042,0.004618242918838347
plannerC_ade_truth,mono,uncertainty,0.3,0.09057009005906973,-0.056096155392830215,0.20743193479336622,0.004809115859835926
plannerC_ade_truth,mono,uncertainty,0.5,0.099047419819587,-0.10135642790726636,0.23484319168923268,0.005259247475844848
plannerC_ade_truth,mono,criticality,0.1,0.06719603286715327,-0.03227798772227627,0.19168440210158472,0.0030530907884313016
plannerC_ade_truth,mono,criticality,0.2,0.10527922885841563,-0.001951759695096735,0.22169758238687357,0.00544277632059292
plannerC_ade_truth,mono,criticality,0.3,0.14989351151357022,0.005963917877065088,0.26681677158198874,0.007959087409941498
plannerC_ade_truth,mono,criticality,0.5,0.13396566321205855,-0.016664547880475923,0.2729418475885397,0.007113346085958019
plannerC_ade_truth,mono,perception_oracle_dE,0.1,0.06428406825575557,-0.11352271350927083,0.2397090397358978,0.002920783984711612
plannerC_ade_truth,mono,perception_oracle_dE,0.2,0.1529868617452282,-0.03494220330323282,0.32125725827507023,0.007909188521779242
plannerC_ade_truth,mono,perception_oracle_dE,0.3,0.14296160766144794,-0.016982518868570436,0.3478632443788948,0.0075910152491171345
plannerC_ade_truth,mono,perception_oracle_dE,0.5,0.20088959235701645,-0.006818396928164756,0.38679055243279514,0.010666891509658558
plannerC_ade_truth,mono,best_dE_metric (E1_fn_only),0.1,0.06428406825575557,-0.11352271350927083,0.2397090397358978,0.002920783984711612
plannerC_ade_truth,mono,best_dE_metric (E1_fn_only),0.2,0.1529868617452282,-0.03494220330323282,0.32125725827507023,0.007909188521779242
plannerC_ade_truth,mono,best_dE_metric (E1_fn_only),0.3,0.14296160766144794,-0.016982518868570436,0.3478632443788948,0.0075910152491171345
plannerC_ade_truth,mono,best_dE_metric (E1_fn_only),0.5,0.20088959235701645,-0.006818396928164756,0.38679055243279514,0.010666891509658558
plannerC_ade_truth,mono,multimetric_dE_oracle,0.1,-0.02350721457762154,-0.10036633330512461,0.0452689212941071,-0.001068063950002869
plannerC_ade_truth,mono,multimetric_dE_oracle,0.2,-0.006250256497075014,-0.08730973290873817,0.0622746443445333,-0.00032312877315678214
plannerC_ade_truth,mono,multimetric_dE_oracle,0.3,0.025140916608714238,-0.08203817603879784,0.11959395303750349,0.0013349393901996296
plannerC_ade_truth,mono,multimetric_dE_oracle,0.5,0.05618213757381091,-0.08534855615099331,0.17484162890077132,0.002983174783965463
plannerC_ade_truth,mono,PKL_gain,0.1,0.4126872513855588,0.23803065540529897,0.5789427612794206,0.018750685002479978
plannerC_ade_truth,mono,PKL_gain,0.2,0.4201016003513123,0.27160782945869383,0.5719664160663136,0.02171861503383853
plannerC_ade_truth,mono,PKL_gain,0.3,0.41839361430356975,0.27349715127894386,0.5679277732268055,0.022215980627700388
plannerC_ade_truth,mono,PKL_gain,0.5,0.41386988977538874,0.2623649867112572,0.5610964920001402,0.021975778643139973
plannerC_ade_truth,mono,TIP_gain,0.1,0.3607259713095829,0.16606089884357883,0.5511030086860023,0.016389794057196087
plannerC_ade_truth,mono,TIP_gain,0.2,0.3999289485641101,0.22958663815617603,0.5601505283346765,0.020675719558049966
plannerC_ade_truth,mono,TIP_gain,0.3,0.40677626667634365,0.23827282748472817,0.5711268603406597,0.021599119468714206
plannerC_ade_truth,mono,TIP_gain,0.5,0.4142385512225563,0.25041850147926487,0.5845863623273826,0.021995353931309913
plannerC_ade_truth,mono,decision_oracle_dJ,0.1,1.0,1.0,1.0,0.045435580913939816
