track,geometry,system,target,section,objective,signal,tier,n_units,n_frames,n_affected,available,quota,k,coverage,gain,prize,eta,ndg_defined,undefined_reason,pool,n_methods,kendall_tau,kendall_p,argmax_dec,argmax_perc,argmax_differs,eta_dec_of_dec,eta_dec_of_perc,regret_ndg,perc_winner_worse_than_random,cheap_loss_total,e_dec_defined,n_affected_dec,regret_gain,regret_gain_lo,regret_gain_hi,regret_share_cheap,regret_share_lo,regret_share_hi,n_draws,n_draws_kept_under_official_filter,eta_official,abs_diff,matches_to_3dp
nuScenes,oracle,brake,J,score,E_perc_dE,uncertainty,1.0,24.0,955.0,392.0,True,0.3,286.0,1.0,364.0,611.0,0.5957446808510638,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,uncertainty,1.0,24.0,955.0,392.0,True,0.5,478.0,1.0,490.5,691.0,0.7098408104196816,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,criticality_cheap,1.0,24.0,955.0,392.0,True,0.1,96.0,1.0,165.0,334.0,0.4940119760479042,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,criticality_cheap,1.0,24.0,955.0,392.0,True,0.2,191.0,1.0,254.0,516.0,0.49224806201550386,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,criticality_cheap,1.0,24.0,955.0,392.0,True,0.3,286.0,1.0,298.0,611.0,0.4877250409165303,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,criticality_cheap,1.0,24.0,955.0,392.0,True,0.5,478.0,1.0,389.0,691.0,0.5629522431259045,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,trivial_ego_speed,1.0,24.0,955.0,392.0,True,0.1,96.0,1.0,12.0,334.0,0.03592814371257485,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,trivial_ego_speed,1.0,24.0,955.0,392.0,True,0.2,191.0,1.0,52.0,516.0,0.10077519379844961,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,trivial_ego_speed,1.0,24.0,955.0,392.0,True,0.3,286.0,1.0,92.0,611.0,0.15057283142389524,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,trivial_ego_speed,1.0,24.0,955.0,392.0,True,0.5,478.0,1.0,182.0,691.0,0.2633863965267728,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,gate_ridge,2.0,24.0,955.0,392.0,True,0.1,96.0,1.0,52.0,334.0,0.15568862275449102,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,gate_ridge,2.0,24.0,955.0,392.0,True,0.2,191.0,1.0,87.0,516.0,0.1686046511627907,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,gate_ridge,2.0,24.0,955.0,392.0,True,0.3,286.0,1.0,131.0,611.0,0.2144026186579378,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,gate_ridge,2.0,24.0,955.0,392.0,True,0.5,478.0,1.0,212.0,691.0,0.3068017366136035,True,,,,,,,,,,,,,,,,,,,,,,,,,,
nuScenes,oracle,brake,J,score,E_perc_dE,gate_gbm,2.0,24.0,955.0,392.0,True,0.1,96.0,1.0,49.0,334.0,0.1467065868263473,True,,,,,,,,,,,,,,,,,,,,,,,,,,
